mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_l2_leaf_reg,param_iterations,param_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.5431182861328125,0.04096764789513141,0.004254150390625,0.0005120895728172416,0.01,7,150,9,"{'learning_rate': 0.01, 'l2_leaf_reg': 7, 'iterations': 150, 'depth': 9}",0.6865671641791045,0.6129032258064516,0.6031746031746031,0.6666666666666666,0.6575342465753424,0.6453691812804336,0.0320414299889783,4
0.05771870613098144,0.009896948914503696,0.004175615310668945,0.0003246283208911762,0.1,7,10,3,"{'learning_rate': 0.1, 'l2_leaf_reg': 7, 'iterations': 10, 'depth': 3}",0.6666666666666666,0.6129032258064516,0.6268656716417911,0.6216216216216216,0.64,0.6336114371473063,0.01871658611730921,7
0.0851515293121338,0.005742887977414403,0.00426173210144043,0.0005984686463278029,0.2,13,10,5,"{'learning_rate': 0.2, 'l2_leaf_reg': 13, 'iterations': 10, 'depth': 5}",0.676923076923077,0.6153846153846154,0.65625,0.64,0.647887323943662,0.6472890032502708,0.02014872356409079,2
0.1554171085357666,0.01138304260196472,0.0037133216857910155,0.00031088493326281283,0.1,13,10,9,"{'learning_rate': 0.1, 'l2_leaf_reg': 13, 'iterations': 10, 'depth': 9}",0.7058823529411765,0.5666666666666667,0.65625,0.647887323943662,0.6216216216216216,0.6396615930346253,0.04556693270625876,5
0.7592360973358154,0.01762877619876037,0.003645181655883789,0.00029238016047794757,0.05,7,200,5,"{'learning_rate': 0.05, 'l2_leaf_reg': 7, 'iterations': 200, 'depth': 5}",0.5915492957746479,0.6461538461538462,0.5714285714285714,0.6666666666666666,0.7076923076923077,0.636698137543208,0.049651242748087604,6
1.064238691329956,0.27087974742396675,0.003718137741088867,0.00025790926901550693,0.05,10,200,7,"{'learning_rate': 0.05, 'l2_leaf_reg': 10, 'iterations': 200, 'depth': 7}",0.6268656716417911,0.65625,0.5573770491803278,0.6086956521739131,0.6956521739130435,0.628968109381815,0.04632869237217365,8
1.237397813796997,0.4083334676200802,0.0038973808288574217,0.0005245606537386325,0.1,3,200,9,"{'learning_rate': 0.1, 'l2_leaf_reg': 3, 'iterations': 200, 'depth': 9}",0.5483870967741935,0.5573770491803278,0.5357142857142857,0.5970149253731343,0.65625,0.5789486714083882,0.04375029547412236,10
0.5166093349456787,0.259629884756472,0.003616046905517578,0.0004868914010891545,0.2,7,150,7,"{'learning_rate': 0.2, 'l2_leaf_reg': 7, 'iterations': 150, 'depth': 7}",0.6666666666666666,0.65625,0.5,0.625,0.6764705882352942,0.624877450980392,0.06478706656901094,9
0.04709954261779785,0.00924071956209324,0.0039012908935546877,0.0002736377883912191,0.05,10,10,3,"{'learning_rate': 0.05, 'l2_leaf_reg': 10, 'iterations': 10, 'depth': 3}",0.6956521739130435,0.6129032258064516,0.6376811594202898,0.6216216216216216,0.6666666666666666,0.6469049694856146,0.03048691371563053,3
0.1651404857635498,0.018598345289521367,0.0035121917724609377,0.00024234839392311947,0.1,13,100,3,"{'learning_rate': 0.1, 'l2_leaf_reg': 13, 'iterations': 100, 'depth': 3}",0.676056338028169,0.6666666666666666,0.6349206349206349,0.6470588235294118,0.676056338028169,0.6601517602346102,0.016470518337787888,1
